scalerS16b	IPM2C21A	IPM2C24A		
601	1.38138e+07	12.4137	12.2285	
85	1.38138e+07	2.5662	8.51486	
90	1.38138e+07	0	0	
86	1.38138e+07	0	0	
89	1.38138e+07	0	0	
84	1.38138e+07	0	0	
91	1.38138e+07	0	0	
92	1.38138e+07	0	0	
90	1.38138e+07	0	0	
88	1.38138e+07	0	0	
92	1.38138e+07	0	0	
92	1.38138e+07	0	0	
90	1.38138e+07	0	0	
89	1.38138e+07	0	0	
88	1.38138e+07	0	0	
95	1.38138e+07	0	0	
94	1.38138e+07	0	0	
90	1.38138e+07	0	0	
90	1.38138e+07	0	0	
93	1.38138e+07	0	0	
88	1.38138e+07	0	0	
91	1.38138e+07	0	0	
91	1.38138e+07	0	0	
91	1.38138e+07	0	0	
93	1.38138e+07	0	0	
89	1.38138e+07	0	0	
90	1.38138e+07	0	0	
87	1.38138e+07	0	0	
91	1.38138e+07	0	0	
90	1.38138e+07	0	0	
90	1.38138e+07	0	0	
94	1.38138e+07	0	0	
90	1.38138e+07	0	0	
88	1.38138e+07	0	0	
87	1.38138e+07	0	0	
85	1.38138e+07	0	0	
83	1.38138e+07	0	0	
85	1.38863e+07	0	0	
86	1.38863e+07	0	0	
88	1.38863e+07	0	0	
87	1.38863e+07	0	0	
94	1.38863e+07	0	0	
90	1.37734e+07	0	0	
564	1.37734e+07	0	0	
855	1.37734e+07	0.78	0	
857	1.37734e+07	1.95	1.5405	
858	1.37734e+07	3.9	3.081	
850	1.37734e+07	7.8	6.162	
856	1.37734e+07	17.9354	15.405	
855	1.37734e+07	20.2696	19.3215	
858	1.37734e+07	20.2696	19.588	
